"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","G110.EIC_MW.FOSSILFUELS.A","OBS_VALUE","G110","Advanced Economies","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1501356.722","1512610.754","1485733.713","1477595.925","1476335.267","1470127.235","1464243.522"
"IMF.STA:RE(2.0.1)","ARM.EG_GWH.WINDENERGY.A","OBS_VALUE","ARM","Armenia, Republic of","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","2.1","1.9","3.3","1.9","1.5","1.8",""
"IMF.STA:RE(2.0.1)","AUS.EG_GWH.HYDROPOWER.A","OBS_VALUE","AUS","Australia","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","16037","15804","15602","14764","14761","16297",""
"IMF.STA:RE(2.0.1)","AND.EG_GWH.HYDROPOWER.A","OBS_VALUE","AND","Andorra, Principality of","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","85.099","114.358","136.617","121.398","78.827","67.198",""
"IMF.STA:RE(2.0.1)","U019.EG_GWH.BIOENERGY.A","OBS_VALUE","U019","Americas","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","152789.004","153638.923","150419.083","150156.023","147276.303","141712.755","0"
"IMF.STA:RE(2.0.1)","ARM.EIC_MW.WINDENERGY.A","OBS_VALUE","ARM","Armenia, Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","2.925","2.925","2.925","2.925","2.925","2.925","2.9"
"IMF.STA:RE(2.0.1)","ASM.EG_GWH.FOSSILFUELS.A","OBS_VALUE","ASM","American Samoa","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","160.942","159.657","166.332","170.497","173.477","130.361",""
"IMF.STA:RE(2.0.1)","ATG.EG_GWH.SOLARENERGY.A","OBS_VALUE","ATG","Antigua and Barbuda","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","6.47","10.25","13.715","16.983","21.826","23.411",""
"IMF.STA:RE(2.0.1)","U142.EG_GWH.SOLARENERGY.A","OBS_VALUE","U142","Asia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","215420.626","306556.707","390466.84","468603.418","585477.565","728184.491","0"
"IMF.STA:RE(2.0.1)","ALB.EG_GWH.HYDROPOWER.A","OBS_VALUE","ALB","Albania","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","4524.979","8552.152","5183.847","5280.901","8921.94","6841.751",""
"IMF.STA:RE(2.0.1)","AUS.EIC_MW.HYDROPOWER.A","OBS_VALUE","AUS","Australia","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","7461","7713","7713","7713","7713","7713","8439.96"
"IMF.STA:RE(2.0.1)","G110.EG_GWH.HYDROPOWER.A","OBS_VALUE","G110","Advanced Economies","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","1271436.807","1270052.391","1244244.74","1276615.396","1236759.8","1188216.136","0"
"IMF.STA:RE(2.0.1)","AIA.EG_GWH.FOSSILFUELS.A","OBS_VALUE","AIA","Anguilla, United Kingdom-British Overseas Territory","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","100.268","100.515","105.812","105.812","105.812","105.812",""
"IMF.STA:RE(2.0.1)","ARM.EG_GWH.SOLARENERGY.A","OBS_VALUE","ARM","Armenia, Republic of","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.4","19.4","23.6","56.5","163.5","523.5",""
"IMF.STA:RE(2.0.1)","U002.EIC_MW.BIOENERGY.A","OBS_VALUE","U002","Africa","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","1639.06","1793.16","1804.66","1819.417","1917.16","1915.996","1898.996"
